City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Touros,BR,-5.1989,-35.4608,79.03,74,40,18.14,scattered clouds
151,Nikolskoye,RU,59.7035,30.7861,39.09,87,90,4.72,overcast clouds
152,Esperance,AU,-33.8667,121.9,65.05,49,30,19.71,scattered clouds
153,Geraldton,AU,-28.7667,114.6,61.21,88,100,3.44,overcast clouds
154,Guerrero Negro,MX,27.9769,-114.0611,86.83,32,5,4.36,clear sky
155,Ambulu,ID,-8.345,113.6058,74.93,93,100,2.3,overcast clouds
156,Meulaboh,ID,4.1363,96.1285,75.2,88,100,2.84,overcast clouds
157,Hasaki,JP,35.7333,140.8333,54.28,52,0,15.32,clear sky
158,Mount Gambier,AU,-37.8333,140.7667,49.91,93,40,6.91,scattered clouds
159,Beringovskiy,RU,63.05,179.3167,35.96,85,9,9.13,clear sky
160,Avera,US,33.194,-82.5271,64.54,26,0,9.93,clear sky
161,Vallenar,CL,-28.5708,-70.7581,71.44,23,0,9.28,clear sky
162,Vilhena,BR,-12.7406,-60.1458,86.22,62,40,6.91,scattered clouds
163,Chany,RU,55.3121,76.7647,42.24,66,100,10.29,overcast clouds
164,New London,US,41.4834,-72.0662,55.15,51,40,8.05,scattered clouds
165,Campo De Criptana,ES,39.4046,-3.1249,65.07,62,100,6.17,overcast clouds
166,Lata,PT,40.1629,-8.3327,64.81,95,9,4.97,clear sky
167,Wenling,CN,28.3669,121.36,55.72,80,89,8.34,overcast clouds
168,Lompoc,US,34.6391,-120.4579,96.78,25,0,12.66,clear sky
169,Sioux Lookout,CA,50.1001,-91.917,37.47,48,75,6.91,broken clouds
170,Waipawa,NZ,-41.4122,175.5153,55.49,56,4,4.97,clear sky
171,Verkh-Chebula,RU,56.0308,87.6218,38.1,86,94,8.39,overcast clouds
172,Alice Springs,AU,-23.7,133.8833,54.95,94,0,0.0,clear sky
173,Pine Bluff,US,34.2284,-92.0032,59.05,25,0,11.99,clear sky
174,Koraput,IN,18.8167,82.7167,65.39,95,29,4.09,scattered clouds
175,Salalah,OM,17.0151,54.0924,77.09,65,0,4.61,clear sky
176,Vestmannaeyjar,IS,63.4427,-20.2734,44.85,72,100,9.37,overcast clouds
177,Narsaq,GL,60.9167,-46.05,41.22,70,27,17.47,scattered clouds
178,Mountain Home,US,43.133,-115.6912,65.68,26,0,0.0,clear sky
179,Grand Gaube,MU,-20.0064,57.6608,70.2,74,29,1.99,scattered clouds
180,Semnan,IR,35.5729,53.3971,62.44,39,0,0.0,clear sky
181,Constitucion,CL,-35.3333,-72.4167,57.96,79,8,10.54,clear sky
182,Cockburn Town,TC,21.4612,-71.1419,83.12,74,12,8.37,few clouds
183,Banjarmasin,ID,-3.3244,114.591,75.34,94,100,2.46,overcast clouds
184,Kazachinskoye,RU,57.6953,93.2761,36.32,97,100,2.98,overcast clouds
185,Quelimane,MZ,-17.8786,36.8883,76.95,83,40,4.61,scattered clouds
186,Ndioum,SN,16.5129,-14.6471,96.66,21,0,5.73,clear sky
187,Sitka,US,57.0531,-135.33,53.49,76,100,14.97,moderate rain
188,Qaqortoq,GL,60.7167,-46.0333,37.11,77,26,34.0,scattered clouds
189,Dengzhou,CN,37.8086,120.7508,52.09,58,95,8.79,overcast clouds
190,Baykit,RU,61.67,96.37,32.9,92,100,2.62,overcast clouds
191,Shakhtinsk,KZ,49.71,72.5872,42.1,72,100,26.78,overcast clouds
192,Chippewa Falls,US,44.9369,-91.3929,47.17,46,0,12.66,clear sky
193,Kaitangata,NZ,-46.2817,169.8464,51.42,52,97,10.02,overcast clouds
194,San Patricio,US,28.017,-97.5169,74.17,22,0,7.23,clear sky
195,Khatanga,RU,71.9667,102.5,19.44,96,100,8.12,light snow
196,Worland,US,44.0169,-107.9554,72.75,24,0,1.99,clear sky
197,Grindavik,IS,63.8424,-22.4338,41.47,93,100,11.5,overcast clouds
198,Muli,MV,2.9167,73.5667,81.3,76,100,13.0,overcast clouds
199,Tazovskiy,RU,67.4667,78.7,36.63,88,100,18.79,overcast clouds
200,Gamba,GA,-2.65,10.0,76.95,86,95,8.12,overcast clouds
201,Swellendam,ZA,-34.0226,20.4417,62.94,90,48,4.56,scattered clouds
202,Terekli-Mekteb,RU,44.1671,45.8698,58.44,84,90,5.23,overcast clouds
203,Severo-Kurilsk,RU,50.6789,156.125,40.51,65,76,32.99,light rain
204,Dombarovskiy,RU,50.7587,59.5386,51.37,71,100,17.22,light rain
205,Hambantota,LK,6.1241,81.1185,78.75,82,100,14.94,overcast clouds
206,Polewali,ID,-3.4324,119.3435,76.37,88,100,3.38,overcast clouds
207,Victoria,HK,22.2855,114.1577,75.38,63,85,15.99,overcast clouds
208,Tabory,RU,58.5198,64.5495,35.74,88,99,4.83,overcast clouds
209,Lorengau,PG,-2.0226,147.2712,82.15,71,100,6.44,overcast clouds
210,Shimoda,JP,34.6667,138.95,54.1,67,0,11.81,clear sky
211,Enshi,CN,30.3,109.4833,51.49,76,10,0.49,clear sky
212,Ahuimanu,US,21.4447,-157.8378,84.61,61,40,9.22,scattered clouds
213,Airai,TL,-8.9266,125.4092,62.78,88,89,0.58,overcast clouds
214,Codrington,AU,-38.2667,141.9667,51.1,95,12,7.65,few clouds
215,Shizuishan,CN,39.2333,106.7694,55.49,63,100,5.32,overcast clouds
216,Barrow,US,71.2906,-156.7887,26.62,80,100,5.75,overcast clouds
217,Manzanillo,CU,20.3433,-77.1167,82.87,75,94,5.08,overcast clouds
218,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,83,83,21.94,broken clouds
219,Saskylakh,RU,71.9167,114.0833,3.51,94,94,4.92,overcast clouds
220,Coihaique,CL,-45.5752,-72.0662,57.81,62,75,5.75,light intensity shower rain
221,Wilson,US,36.1501,-86.2833,59.5,28,0,5.75,clear sky
222,Los Algarrobos,PA,8.5,-82.4333,81.01,78,75,8.05,moderate rain
223,Buta,CD,2.7858,24.73,69.93,99,100,1.14,overcast clouds
224,Rocha,UY,-34.4833,-54.3333,64.63,83,27,10.42,scattered clouds
